product_name                                                                             ,name_ordered                   ,supplier_name ,total_packs_ordered ,pack_size ,pack_price ,PO_cost ,total_packs_received ,receipt_pack_price ,received_cost ,upc          ,store_id ,store_name ,product_id ,restock_order_id ,is_out_of_stock ,out_of_stock_reason
Haribo Happy Cola - Gummies - 5.0 oz                                                     ,HARIBO HAPPY COLA              ,Core-Mark     ,                  1 ,       12 ,     15.84 ,  15.84 ,                     ,                   ,              ,042238323643 ,       5 ,UofA       ,        78 ,           14084 ,FALSE           ,
Haribo Peaches - Gummies - 5.0 oz                                                        ,HARIBO PEACHES                 ,Core-Mark     ,                  1 ,       12 ,     15.84 ,  15.84 ,                     ,                   ,              ,042238380868 ,       5 ,UofA       ,      1768 ,           14084 ,FALSE           ,
Haribo Twin Snakes - Haribo - 5.0 oz                                                     ,HARIBO TWIN SNAKES             ,Core-Mark     ,                  1 ,       12 ,     15.84 ,  15.84 ,                     ,                   ,              ,042238377554 ,       5 ,UofA       ,      2453 ,           14084 ,FALSE           ,
Harvest Snaps Green Pea Crisps - Lightly Salted - 1.75 oz                                ,HARVEST SNAPS CRISPS LT/SLT    ,Core-Mark     ,                  1 ,        8 ,     14    ,  14    ,                     ,                   ,              ,071146009073 ,       5 ,UofA       ,       333 ,           14084 ,FALSE           ,
"Hillshire Small Plates - Genoa Salami, White Cheddar Cheese & Toasted Rounds - 2.76 oz" ,HILLSHIRE SM PLATE GEN SAL/CHE ,Core-Mark     ,                  4 ,       12 ,     30    , 120    ,                     ,                   ,              ,044500201819 ,       5 ,UofA       ,        85 ,           14084 ,FALSE           ,
"Hillshire Small Plates - Italian Dry Salami, Gouda & Toasted Rounds - 2.76 oz"          ,HILLSHIRE SM PLATE ITL SAL/GOU ,Core-Mark     ,                  3 ,       12 ,     30    ,  90    ,                     ,                   ,              ,044500201826 ,       5 ,UofA       ,        87 ,           14084 ,FALSE           ,
Kettle Potato Chips - Jalapeno - 5.0 oz                                                  ,KETTLE CHIPS JALAPENO          ,Core-Mark     ,                  1 ,        8 ,     20.64 ,  20.64 ,                     ,                   ,              ,084114116352 ,       5 ,UofA       ,      4297 ,           14084 ,FALSE           ,
Kettle Potato Chips - Sea Salt & Vinegar - 5.0 oz                                        ,KETTLE CHIPS SLT/VINEGAR       ,Core-Mark     ,                  1 ,        8 ,     20.64 ,  20.64 ,                     ,                   ,              ,084114009968 ,       5 ,UofA       ,      1733 ,           14084 ,FALSE           ,
Kraft String Cheese - Mozzarella - 1.0 oz                                                ,KRAFT NAT STRING CHEESE 02     ,Core-Mark     ,                  1 ,       24 ,     13.68 ,  13.68 ,                     ,                   ,              ,021000000227 ,       5 ,UofA       ,      1774 ,           14084 ,FALSE           ,
M&m's - Peanut - 1.74 oz                                                                 ,M&M PEANUT                     ,Core-Mark     ,                  1 ,       48 ,      0    ,   0    ,                     ,                   ,              ,040000000327 ,       5 ,UofA       ,      1044 ,           14084 ,FALSE           ,
Martinelli's  Apple Juice - Gold Medal - 10.0 fl. oz                                     ,MARTINELLI APPLE JCE P         ,Core-Mark     ,                  1 ,       12 ,     14.76 ,  14.76 ,                     ,                   ,              ,041244000081 ,       5 ,UofA       ,       907 ,           14084 ,FALSE           ,
Maruchan Ramen Noodles - Chicken - 3.0 oz                                                ,MARUCHAN RAMEN CHIX            ,Core-Mark     ,                  1 ,       24 ,      8.4  ,   8.4  ,                     ,                   ,              ,041789002113 ,       5 ,UofA       ,       243 ,           14084 ,FALSE           ,
Maruchan Yakisoba - Chicken - 4.0 oz                                                     ,MARUCHAN YAKISOBA CHICKEN      ,Core-Mark     ,                  1 ,        8 ,      8    ,   8    ,                     ,                   ,              ,041789007019 ,       5 ,UofA       ,       634 ,           14084 ,FALSE           ,
Meiji Hello Panda - Chocolate - 2.2 oz                                                   ,MEIJI PANDA CHOC B             ,Core-Mark     ,                  1 ,        6 ,      6.06 ,   6.06 ,                     ,                   ,              ,072320700762 ,       5 ,UofA       ,       976 ,           14084 ,FALSE           ,
Meiji Hello Panda - Strawberry Cream - 2.1 oz                                            ,MEIJI PANDA STRWBRY B          ,Core-Mark     ,                  2 ,        6 ,      5.82 ,  11.64 ,                     ,                   ,              ,072320700823 ,       5 ,UofA       ,      1003 ,           14084 ,FALSE           ,
Mike And Ike - Original - 5.0 oz                                                         ,MIKE & IKE P                   ,Core-Mark     ,                  1 ,       12 ,     12.84 ,  12.84 ,                     ,                   ,              ,070970472596 ,       5 ,UofA       ,      3188 ,           14084 ,FALSE           ,
Minute Maid - Frozen Lemonade - 12.0 oz                                                  ,MINUTE MD SFT LMNDE CUP FRZ LE ,Core-Mark     ,                  1 ,       12 ,     23.88 ,  23.88 ,                     ,                   ,              ,025000065996 ,       5 ,UofA       ,      3879 ,           14084 ,FALSE           ,
Minute Maid - Frozen Strawberry Lemonade - 12.0 oz                                       ,MINUTE MD SFT LMNDE CUP FRZ ST ,Core-Mark     ,                  1 ,       12 ,     24    ,  24    ,                     ,                   ,              ,025000066016 ,       5 ,UofA       ,      4104 ,           14084 ,FALSE           ,
Nerds Gummy Clusters - Original - 5.0 oz                                                 ,NERDS CLUSTERS RNBW MED PEG    ,Core-Mark     ,                  1 ,       12 ,     23.88 ,  23.88 ,                     ,                   ,              ,079200049065 ,       5 ,UofA       ,      3432 ,           14084 ,FALSE           ,
Nestle Toll House Cookie Dough - Chocolate Chip - 16.0 oz                                ,NESTLE CKIE DOUGH CHOC CHIP    ,Core-Mark     ,                  3 ,       12 ,     49.08 , 147.24 ,                     ,                   ,              ,050000622313 ,       5 ,UofA       ,      2619 ,           14084 ,FALSE           ,
Ocean Spray - Cranberry Juice - 32.0 fl. oz                                              ,OC SPRAY CRANBERRY JUICE P     ,Core-Mark     ,                  1 ,       12 ,     28.08 ,  28.08 ,                     ,                   ,              ,031200200006 ,       5 ,UofA       ,      1703 ,           14084 ,FALSE           ,
Oh Snap Pickle Bites - Dilly Bites - 3.25 oz                                             ,OH SNAP PICKLES BITES DILLY    ,Core-Mark     ,                  2 ,       12 ,     12.84 ,  25.68 ,                     ,                   ,              ,074329123382 ,       5 ,UofA       ,      3944 ,           14084 ,FALSE           ,
