product_name,name_ordered,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason
Martinelli's  Apple Juice - Gold Medal - 10.0 fl. oz,MARTINELLI APPLE JCE P,Core-Mark,0,12,14.76,0,,,,041244000081,2,USC,907,14150,false,
Maruchan Instant Lunch Ramen - Chicken - 2.25 oz,MARUCHAN INST LUNCH CHIX,Core-Mark,1,6,3.78,3.78,,,,041789001215,2,USC,1001,14150,false,
Meiji Hello Panda - Chocolate - 7.0 oz,MEIJI PANDA CHOC,Core-Mark,1,6,17.88,17.88,,,,072320700915,2,USC,4673,14150,false,
Mike And Ike - Original - 5.0 oz,MIKE & IKE P,Core-Mark,1,12,13.68,13.68,,,,070970472596,2,USC,3188,14150,True,product_oss
Minute Maid - Frozen Lemonade - 12.0 oz,MINUTE MD SFT LMNDE CUP FRZ LE,Core-Mark,1,12,26.28,26.28,,,,025000065996,2,USC,3879,14150,false,
Minute Maid - Frozen Strawberry Lemonade - 12.0 oz,MINUTE MD SFT LMNDE CUP FRZ ST,Core-Mark,1,12,26.28,26.28,,,,025000066016,2,USC,4104,14150,false,
Mother's Circus Animal Cookies - Frosted - 3.0 oz,MOTHERS CIRCUS ANIMAL P,Core-Mark,1,6,7.44,7.44,,,,027800100655,2,USC,1720,14150,false,
Oreo Cakesters - Soft-baked - 3.03 oz,NAB CAKESTERS OREO ORIG,Core-Mark,1,8,12.56,12.56,,,,044000069919,2,USC,7188,14150,false,
Oreo Mini - Regular - 4.0 oz,NAB OREO MINI BIG BAG #6,Core-Mark,1,12,16.56,16.56,,,,044000006808,2,USC,4139,14150,false,
Ritz Bits - Peanut Butter - 3.0 oz,NAB RITZ BITS SNDW PB,Core-Mark,0,12,0,0,,,,044000006785,2,USC,1040,14150,false,
Ritz Cheese Bites - Snack - 3.0 oz,NAB RITZ BITS SNDW REAL CHSE,Core-Mark,1,12,16.56,16.56,,,,044000006778,2,USC,1890,14150,false,
Nerds Gummy Clusters - Original - 5.0 oz,NERDS CLUSTERS RNBW MED PEG,Core-Mark,2,12,25.44,50.88,,,,079200049065,2,USC,3432,14150,false,
Nerds Rope - Rainbow - 0.92 oz,NERDS ROPE RAINBOW,Core-Mark,1,24,25.68,25.68,,,,041420045691,2,USC,2441,14150,false,
Water Jug - Nestle Pure Life - 1.0 gal(s),NESTLE PURE LIFE WTR PURI,Core-Mark,1,6,12,12,,,,068274346613,2,USC,7124,14150,false,
Neutrogena Makeup Remover - Ultra-soft Cleansing Towelettes - 7.0 count,NEUTROG MAKE-UP REMOVER WIPES,Core-Mark,4,1,2.14,8.56,,,,070501451052,2,USC,5276,14150,false,
Ocean Spray - Cranberry Juice - 32.0 fl. oz,OC SPRAY CRANBERRY JUICE P,Core-Mark,1,12,29.76,29.76,,,,031200200006,2,USC,1703,14150,false,
Oh Snap Pickle Bites - Sassy Bites - 3.25 oz,OH SNAP PICKLES BITES SASSY,Core-Mark,1,12,13.92,13.92,,,,074329123252,2,USC,2044,14150,false,
Olly Melatonin Gummy - Blackberry Zen - 10.0 count,OLLY GUMMY RESTFUL SLEEP,Core-Mark,1,8,26.16,26.16,,,,858158015175,2,USC,6246,14150,false,
Goldfish - Cheddar - 2.65 oz,P FARMS GOLDFISH CHED,Core-Mark,0,8,9.92,0,,,,014100045526,2,USC,3118,14150,false,
Pedialyte - Strawberry - 16.9 fl. oz,PEDIALYTE STRAWBERRY,Core-Mark,2,12,19.08,38.16,,,,070074675992,2,USC,1738,14150,false,
Pirate's Booty - Aged White Cheddar - 1.0 oz,PIRATE BOOTY CHED WHT,Core-Mark,1,12,11.76,11.76,,,,015665601042,2,USC,2757,14150,false,
Power Crunch - Peanut Butter Fudge - 1.0 count,POWER CRUNCH BAR PB FDG,Core-Mark,1,12,15.36,15.36,,,,644225727733,2,USC,2646,14150,false,
Pringles - Original - 5.26 oz,PRINGLES ORIGINAL,Core-Mark,1,14,34.3,34.3,,,,038000138416,2,USC,368,14150,false,
Flipz - Milk Chocolate Pretzels - 5.0 oz,PRTZL FLIPZ MLK CHOC,Core-Mark,1,6,15.6,15.6,,,,872181000069,2,USC,2575,14150,false,
Quest Protein Chips - Chili Lime - 1.1 oz,QUEST PRTN CHIP CHILI LIME,Core-Mark,1,8,17.68,17.68,,,,888849006656,2,USC,7185,14150,false,
Red Bull - Original - 8.4 fl. oz,RED BULL ENERGY DRINK,Core-Mark,1,24,49.68,49.68,,,,611269991000,2,USC,154,14150,false,
Ferrero Rocher Chocolate - Milk Hazelnut - 3.1 oz,ROCHER TABLET MC ORIGINAL,Core-Mark,1,8,10,10,,,,009800125104,2,USC,7826,14150,false,
Rockview Milk - 2 % - 64.0 oz,ROCKVIEW 2% MILK .5,Core-Mark,3,1,2.21,6.63,,,,092202004207,2,USC,7202,14150,false,
